ID,smiles,IC50,IC50_units,pIC50
BCRP_0812,COc1ccc(-c2ccc(CN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1,15,uM,4.823908741
BCRP_0813,CCOC(=O)c1cccc(NC(=O)c2cnc3ccccc3n2)c1,11.83,uM,4.927015255
BCRP_0814,CCOc1ccccc1NC(=O)C(OC(=O)c1ccc(N(C)C)cc1)c1ccccc1,2.75,uM,5.560667306
BCRP_0815,O=C1CN(c2cc(-c3ccco3)nc3cc(-c4ccccc4)nn23)CCN1c1ccccc1,0.00000136,uM,11.86646109
BCRP_0816,Cc1cc(C(=O)N2CCN(c3cc(-c4ccco4)nc4cc(-c5ccccc5)nn34)CC2)c(C)o1,0.00000381,uM,11.41907502
BCRP_0817,CC(C)(C)c1cc2nc(-c3ccco3)cc(N3CCN(C(=O)c4ccoc4)CC3)n2n1,0.4565,uM,6.340559218
BCRP_0818,Cc1nc2cc(-c3ccccc3)nn2c(N2CCN(C(=O)c3ccoc3)CC2)c1C,0.000002,uM,11.69897
BCRP_0819,O=C(c1ccoc1)N1CCN(c2cc(-c3ccccc3)nc3cc(-c4ccncc4)nn23)CC1,0.00000103,uM,11.98716278
BCRP_0820,CC(=O)N1CCN(c2cc(-c3ccccc3)nc3cc(-c4ccccc4)nn23)CC1,0.00000236,uM,11.627088
BCRP_0821,COc1ccc(-c2cc3nc(C)c(C)c(N4CCN(C(C)=O)CC4)n3n2)cc1,0.00000639,uM,11.19449914
BCRP_0822,COc1ccc(-c2cc3nc(C)c(C)c(N4CCN(C(=O)c5ccoc5)CC4)n3n2)cc1,0.0000012,uM,11.92081875
BCRP_0823,O=C(c1ccoc1)N1CCN(c2cc(-c3ccco3)nc3cc(-c4ccco4)nn23)CC1,0.000000697,uM,12.15676722
BCRP_0824,Cc1cc(N2CCN(C(=O)c3ccco3)CC2)n2ncc(-c3ccccc3)c2n1,0.00000752,uM,11.12378216
